market_name,district,mz_ratio,night_activity,mz_night_activity,weekend_activity,mz_weekend_activity,monthly_growth_rate,total_records,total_population
오목교중앙시장,양천구,19.09,-37.16,-19.8,-28.99,-24.32,,30974,4492.67
가리봉시장,구로구,25.19,-44.91,-33.9,-41.19,-46.02,,821273,342286.91000000003
개봉입구골목상가 골목형상점가,구로구,19.25,-29.26,-0.43,-21.58,-14.42,,1262616,484455.26
개봉중앙 골목형상점가,구로구,19.45,-28.18,2.22,-19.75,-12.37,,1424238,671395.6200000003
개봉중앙시장,구로구,19.58,-27.39,2.57,-19.04,-11.85,,1324788,580380.15
개봉프라자,구로구,18.37,-29.16,-0.2,-18.51,-9.88,,1350858,419544.4200000001
고척골목시장상점가,구로구,19.05,-32.99,-8.07,-25.68,-19.55,,1041229,350364.5800000001
고척근린시장,구로구,18.37,-29.44,-0.44,-18.62,-9.93,,1362751,427357.40999999986
고척프라자,구로구,18.8,-32.79,-7.34,-25.1,-18.47,,1057024,347824.20000000007
구로시장,구로구,20.57,-40.91,-23.39,-30.38,-31.85,,1446503,760282.9900000001
그라운드고척 골목형상점가,구로구,21.82,-36.34,-15.57,-30.78,-23.91,,1157385,452387.24999999994
남구로시장,구로구,20.0,-40.61,-22.59,-29.55,-29.58,,1430676,691415.68
오류버들시장 골목형상점가,구로구,20.15,-27.68,-0.32,-18.97,-12.12,,1113872,352261.79000000015
오류시장,구로구,21.15,-26.38,4.72,-18.17,-7.97,,1388265,476433.1500000001
극동종합상가 골목형상점가,구로구,21.51,-41.68,-24.08,-32.01,-32.52,,1477718,844732.8699999999
오류골먹자골목 골목형상점가,구로구,21.04,-26.45,4.55,-18.13,-7.79,,1381689,472853.90999999986
대림중앙골목형상점가,영등포구,24.91,-39.6,-16.63,-35.04,-34.8,,428251,254257.73000000004
대림중앙시장,영등포구,25.12,-35.15,-4.36,-30.71,-27.23,,147509,95457.11
강남골목시장,관악구,29.29,-29.29,7.33,-35.45,-30.74,,192193,250245.72999999992
