market_name,district,mz_ratio,night_activity,mz_night_activity,weekend_activity,mz_weekend_activity,monthly_growth_rate,total_records,total_population
오목교중앙시장,양천구,19.89,-38.45,-22.75,-34.76,-28.35,,35197,9510.98
가리봉시장,구로구,26.36,-51.03,-47.32,-49.66,-56.28,,877741,443749.29999999993
개봉입구골목상가 골목형상점가,구로구,19.41,-24.62,5.72,-20.59,-12.5,,1255101,469932.48
개봉중앙 골목형상점가,구로구,19.14,-22.67,10.06,-18.23,-8.21,,1367826,647607.1300000001
개봉중앙시장,구로구,19.43,-21.46,10.74,-17.36,-7.49,,1252338,556182.7700000003
개봉프라자,구로구,18.21,-24.73,4.29,-17.62,-5.34,,1389872,476395.6400000001
고척골목시장상점가,구로구,18.34,-33.48,-7.47,-29.77,-21.63,,1065819,383325.3199999999
고척근린시장,구로구,18.21,-24.89,4.13,-17.65,-5.24,,1405785,486708.0599999999
고척프라자,구로구,18.28,-33.47,-8.54,-29.16,-20.97,,1087394,380984.8999999999
구로시장,구로구,19.55,-32.46,-17.05,-25.91,-27.53,,1322536,564956.3300000001
그라운드고척 골목형상점가,구로구,21.88,-33.8,-5.45,-39.28,-35.31,,1183468,505515.95999999996
남구로시장,구로구,19.26,-29.79,-11.51,-23.08,-21.85,,1165333,453162.5999999998
오류버들시장 골목형상점가,구로구,20.14,-24.32,4.42,-19.37,-11.07,,1011048,420150.56
오류시장,구로구,21.66,-22.89,9.26,-16.47,-7.01,,1448660,553313.97
극동종합상가 골목형상점가,구로구,20.19,-33.04,-17.29,-28.16,-29.44,,1130578,581076.92
오류골먹자골목 골목형상점가,구로구,21.64,-22.79,9.29,-16.14,-6.49,,1438000,538860.5200000001
대림중앙골목형상점가,영등포구,22.89,-41.03,-27.61,-37.38,-40.91,,424781,238186.93999999997
대림중앙시장,영등포구,22.6,-37.7,-18.16,-33.74,-34.18,,144516,77936.77999999998
강남골목시장,관악구,34.32,-0.73,64.41,-35.24,-30.49,,181983,224415.75999999998
