market_name,district,mz_ratio,night_activity,mz_night_activity,weekend_activity,mz_weekend_activity,monthly_growth_rate,total_records,total_population
오목교중앙시장,양천구,21.7,-44.41,-29.9,-34.46,-23.18,,29524,12054.79
가리봉시장,구로구,26.98,-56.05,-51.08,-51.3,-56.03,,803397,555508.89
개봉입구골목상가 골목형상점가,구로구,20.06,-25.44,3.52,-17.2,-6.93,,925249,427437.6000000001
개봉중앙 골목형상점가,구로구,19.16,-28.8,6.41,-18.24,-3.72,,1213300,688023.0099999999
개봉중앙시장,구로구,19.5,-27.43,6.96,-17.15,-2.84,,1093395,593940.6199999998
개봉프라자,구로구,18.89,-29.29,-3.03,-18.28,-4.77,,1146167,472130.49000000005
고척골목시장상점가,구로구,17.53,-38.72,-10.31,-25.83,-8.93,,936771,412362.8900000001
고척근린시장,구로구,18.87,-29.56,-3.29,-18.33,-4.77,,1168455,482207.71
고척프라자,구로구,17.57,-38.21,-9.49,-25.32,-8.32,,944773,411771.34999999986
구로시장,구로구,19.91,-38.86,-19.5,-25.15,-22.9,,1384405,668920.7599999999
그라운드고척 골목형상점가,구로구,19.96,-47.33,-27.52,-38.63,-29.95,,941106,452778.51999999996
남구로시장,구로구,20.09,-39.43,-19.45,-25.41,-21.42,,1369518,631026.9200000003
오류버들시장 골목형상점가,구로구,22.2,-24.16,8.3,-1.47,17.16,,847701,279179.52999999997
오류시장,구로구,22.9,-25.3,7.17,-13.73,-0.86,,1262371,563579.19
극동종합상가 골목형상점가,구로구,20.45,-41.39,-19.92,-28.72,-25.59,,1401232,798426.5300000007
오류골먹자골목 골목형상점가,구로구,22.76,-25.12,6.73,-13.52,-0.47,,1246394,558545.5299999998
대림중앙골목형상점가,영등포구,21.5,-41.36,-16.84,-30.69,-30.09,,397962,251382.53000000006
대림중앙시장,영등포구,21.09,-37.3,-8.35,-26.11,-23.51,,129251,84619.47
강남골목시장,관악구,23.5,-29.92,9.03,-23.45,-17.49,,108090,50025.49
