market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
묵동도깨비시장 골목형상점가,중랑구,23.45,-8.81,19.27,,258899,162528.59999999992
석계음식문화거리,성북구,21.63,-6.67,26.54,,407027,207222.72999999998
오!도봉거리상점가,도봉구,18.41,-21.81,-7.54,,116168,38792.77000000001
창동역상점가,도봉구,19.76,-17.9,-4.53,,327696,114465.20999999999
공릉동도깨비시장,노원구,24.5,-15.15,5.76,,1360789,679277.3200000001
공릉철길 골목형상점가,노원구,25.93,-14.04,7.09,,1296970,603806.6799999997
상계역전종합상가 상점가,노원구,19.49,-12.18,9.88,,1363953,635444.1799999998
상계주공15단지 상가 상점가,노원구,20.5,-16.07,-1.2,,964503,382491.65000000014
상계주공1단지 가상가 상점가,노원구,21.54,-18.06,0.36,,915357,372141.9399999998
상계중앙시장,노원구,20.33,-11.38,12.39,,1370611,681277.5299999999
중계 씨앤미상가 상점가,노원구,19.46,-20.2,-3.19,,1333545,705727.0199999994
중계동 시영2단지 무지개종합상가 상점가,노원구,19.44,-19.38,-1.35,,1288498,668915.3899999999
중계동시영B상가상점가,노원구,19.48,-18.21,-0.94,,1128188,545819.42
