market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
풍납시장,송파구,27.15,-10.42,16.83,,129028,68262.98999999999
고덕골목형상점가,강동구,17.44,-13.55,2.69,,888761,164383.43999999997
고분다리전통시장,강동구,23.65,-14.66,13.35,,1333196,671462.8499999997
길동복조리시장,강동구,21.88,-12.89,9.67,,1409552,729637.6699999999
둔촌역전통시장,강동구,22.01,-17.54,-0.27,,1284966,657485.0999999999
명일전통시장,강동구,20.02,-17.25,5.34,,1357233,718818.5700000003
성내전통시장,강동구,23.77,-16.32,9.85,,1440434,897154.13
암사종합시장,강동구,21.2,-12.89,9.16,,1222576,575028.6400000001
장신구거리,강동구,21.59,-22.36,-7.63,,1131825,539069.0
천호로데오거리상점가,강동구,25.65,-12.82,22.21,,1425551,1235054.73
