market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
꿈의숲장곡골목형상점가,성북구,17.89,-11.13,1.01,,101847,19797.8
밤나무골시장,성북구,20.3,-13.61,14.68,,150027,68190.64999999998
강북북부골목시장,강북구,26.57,-5.19,29.85,,1219740,664279.0900000001
강북북부시장,강북구,26.6,-5.32,30.1,,1280936,745744.4399999997
동북프라자,강북구,17.34,-16.71,2.21,,1291789,481649.95000000007
미소상인회 골목형상점가,강북구,24.11,-5.43,28.36,,1233082,752418.4099999999
방천골목시장,강북구,23.78,-5.04,30.28,,835669,575198.2800000004
백년시장,강북구,25.67,-7.48,27.18,,1431089,930344.1700000003
삼양시장 골목형상점가,강북구,18.97,-16.09,1.18,,1235205,414020.85000000003
솔샘시장 골목형상점가,강북구,17.45,-16.52,2.49,,1303306,493473.37000000005
수유북부시장,강북구,21.29,-18.68,-1.77,,1261139,427674.4100000001
수유시장,강북구,22.1,-19.85,-3.2,,1333665,613992.9999999998
수유재래시장,강북구,22.09,-19.6,-2.03,,1394626,654623.6599999999
수유전통시장,강북구,22.09,-19.6,-2.03,,1394626,654623.6599999999
수유중앙골목시장골목형상점가,강북구,22.39,-13.59,9.85,,1345634,598839.0399999999
수유중앙시장,강북구,23.82,-10.74,17.52,,1404441,811990.8999999996
수유프라자,강북구,22.48,-19.26,-1.95,,1316483,638352.5099999999
숭인시장,강북구,24.2,-5.53,30.34,,1029719,705110.4200000002
어진이골목시장,강북구,20.9,-18.93,-2.75,,1189579,362891.4699999998
오패산로 골목형상점가,강북구,23.66,-3.81,29.0,,929885,543911.7199999999
우이골목시장골목형상점가,강북구,19.85,-18.38,0.12,,999107,398067.76000000007
우이시장,강북구,19.79,-18.36,0.2,,1075976,428611.51999999996
장미원골목시장,강북구,19.36,-19.61,-2.92,,1304998,495014.6499999998
숭인사랑골목형상점가,강북구,18.29,-15.53,5.38,,1206965,475265.8600000001
인수로골목형상점가,강북구,18.88,-19.97,-5.61,,1029292,290658.47000000003
백운시장,도봉구,18.46,-19.5,-5.2,,321306,82532.33000000003
쌍문역둘러상점가,도봉구,26.4,-8.14,26.8,,50957,18934.37
창동골목시장,도봉구,20.63,-11.5,10.68,,196741,70927.05
창동신창시장,도봉구,25.21,-5.27,28.05,,422787,196113.90999999997
