market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
말죽거리 골목형상점가,서초구,26.37,-29.24,-13.75,,379664,366959.63
양재시장,서초구,26.18,-28.92,-13.39,,542021,455398.05999999994
강남개포시장,강남구,20.16,-17.17,1.6,,986050,295160.63000000006
강남언주로 상가,강남구,31.53,-28.9,-19.39,,1184262,1384593.7099999995
강남역지하도상점,강남구,32.33,-32.47,-23.88,,1150143,1802671.5300000012
논현종합시장,강남구,34.05,-21.94,-13.86,,1246877,1188599.57
도곡시장,강남구,21.96,-22.43,-12.2,,1397749,1051875.33
신사시장,강남구,25.82,-25.36,-14.16,,825303,446429.61999999994
영동전통시장,강남구,38.1,-7.93,17.05,,890315,757360.5699999998
은마종합상점,강남구,20.51,-22.48,-23.73,,1192751,840176.5299999999
청담삼익시장,강남구,26.65,-24.64,-14.77,,784299,429884.43
