market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
가리봉시장,구로구,31.33,-35.32,-25.17,,572049,592319.4299999999
대명여울빛거리시장,금천구,19.71,-12.6,14.22,,1186598,684266.5199999997
독산동 맛나는거리상점가,금천구,21.11,-18.15,5.55,,1439473,914999.8799999999
독산동 우시장,금천구,22.03,-20.23,0.49,,1276542,758249.7600000001
법원단지길 상점가,금천구,19.62,-13.43,10.82,,1244926,577060.37
별빛남문시장,금천구,20.87,-13.94,11.79,,1372124,693092.41
비단길현대시장,금천구,19.83,-14.3,8.94,,1297642,617838.4400000004
아름다운 별장거리,금천구,19.04,-13.05,12.14,,1244351,556866.44
은행나무시장,금천구,18.71,-12.66,12.09,,1293250,577451.4800000003
정훈한마음골목시장,금천구,20.34,-15.97,4.1,,1396922,722159.9600000003
천리단길 상점가,금천구,20.57,-11.64,9.27,,874582,397899.89999999997
강남골목시장,관악구,20.63,-15.56,10.49,,198828,100362.90999999999
미성동도깨비시장,관악구,22.17,-10.33,12.62,,12830,2558.91
신림중앙시장,관악구,21.53,-14.01,11.13,,31846,15041.079999999998
조원동펭귄시장,관악구,21.27,-15.05,9.87,,53892,25784.279999999995
