market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
오목교중앙시장,양천구,21.7,-20.43,-9.23,,29524,12054.79
가리봉시장,구로구,26.98,-31.91,-26.51,,803397,555508.89
개봉입구골목상가 골목형상점가,구로구,20.06,-3.32,18.46,,925249,427437.6000000001
개봉중앙 골목형상점가,구로구,19.16,-5.93,18.1,,1213300,688023.0099999999
개봉중앙시장,구로구,19.5,-4.95,18.1,,1093395,593940.6199999998
개봉프라자,구로구,18.89,-8.25,8.01,,1146167,472130.49000000005
고척골목시장상점가,구로구,17.53,-16.13,3.59,,936771,412362.8900000001
고척근린시장,구로구,18.87,-8.52,7.66,,1168455,482207.71
고척프라자,구로구,17.57,-15.65,4.39,,944773,411771.34999999986
구로시장,구로구,19.91,-15.35,-1.47,,1384405,668920.7599999999
그라운드고척 골목형상점가,구로구,19.96,-23.87,-8.92,,941106,452778.51999999996
남구로시장,구로구,20.09,-16.67,-2.08,,1369518,631026.9200000003
오류버들시장 골목형상점가,구로구,22.2,-2.89,22.21,,847701,279179.52999999997
오류시장,구로구,22.9,-5.86,17.49,,1262371,563579.19
극동종합상가 골목형상점가,구로구,20.45,-18.46,-2.49,,1401232,798426.5300000007
오류골먹자골목 골목형상점가,구로구,22.76,-5.71,16.95,,1246394,558545.5299999998
대림중앙골목형상점가,영등포구,21.5,-17.07,3.74,,397962,251382.53000000006
대림중앙시장,영등포구,21.09,-12.85,12.02,,129251,84619.47
강남골목시장,관악구,23.5,-5.1,30.57,,108090,50025.49
