market_name,district,mz_ratio,night_activity,mz_night_activity,monthly_growth_rate,total_records,total_population
경창시장,양천구,23.4,0.51,27.45,,236385,120867.60999999999
목2동시장,양천구,20.6,-9.94,8.96,,425582,253573.99999999994
목3동 골목형상점가,양천구,21.12,-12.97,10.22,,363438,226958.74999999997
목동깨비시장,양천구,20.87,-14.46,8.94,,590090,363695.15
목동로데오골목형상점가,양천구,20.43,-13.11,3.84,,294186,124091.43999999999
목사랑시장,양천구,20.44,-6.82,9.97,,236774,85087.05000000002
서서울골목형상점가,양천구,23.01,-3.85,18.16,,561514,275075.72
신영시장,양천구,22.66,-5.74,17.13,,629137,337008.44
월정로시장,양천구,22.38,-6.27,16.8,,599891,317726.49999999994
강서구청먹자골목 골목형상점가,강서구,23.7,-13.79,9.67,,1275308,715279.6499999999
강서수산시장 골목형상점가,강서구,19.35,-29.34,-28.79,,860677,226844.58
강서행복한길골목형상점가,강서구,23.93,-6.07,17.04,,1305632,704280.4600000005
공항대로 골목형상점가,강서구,22.08,-17.15,-0.56,,1155330,675258.1600000001
까치산시장,강서구,23.77,-3.32,23.97,,1345387,774718.4999999997
남부골목시장,강서구,20.07,-11.96,5.98,,1126230,474579.6599999998
방신전통시장,강서구,18.18,-15.61,0.85,,1320036,478088.59999999974
봉제산길 골목형상점가,강서구,20.28,-12.4,8.17,,471445,257278.56000000006
송화벽화시장,강서구,24.0,-9.25,13.12,,1254654,600457.0599999998
화곡본동시장,강서구,24.28,-5.59,17.72,,1328818,722978.0900000001
화곡중앙시장,강서구,23.41,-5.67,17.56,,1199521,624300.1099999999
가양역사거리 골목형상점가,강서구,24.04,-16.49,5.55,,1351140,811232.0299999997
공항골목시장 골목형상점가,강서구,21.92,-19.43,-7.57,,961395,308661.0499999999
공항동 먹자골목 골목형상점가,강서구,23.34,-12.58,5.93,,987401,375848.16000000015
송정역 카페거리 골목형상점가,강서구,23.68,-10.41,13.28,,1122419,467200.36999999994
